date,page,title,tenure,location,salary,industry,education,prior_experience,signing_bonus,stock_or_bonus,total_comp,extra_col
2021,1,Title: Data Scientist,Tenure length:  3 years at current company,Location: Austria,"Salary: 42,000€ a year (before tax), ~30,000€ (after tax)",Company/Industry: Consulting basically,Education: Bsc. in comp sci,Prior Experience:,$Internship 6 month internship,Relocation/Signing Bonus: lol,Stock and/or recurring bonuses: nope,
2021,1,Title: Data Scientist,Tenure length:,Location: D.C. Area,Salary: GS-11 ($72k/yr),Company/Industry: Federal government,"Education: M.S. applied stats, B.S. math",Prior Experience: 6 years as statistician at environmental consulting firm,Relocation/Signing Bonus: Offered but not needed (remote work). No signing bonus.,Stock and/or recurring bonuses: Bonuses yes but TBD as I started after bonuses went out. 6% match for retirement.,,
2021,1,Title: Founder/Programmer,Tenure length: 5 years,"Location: Oregon, USA.",Salary: $10K,Company/Industry: Software,Education: Msc in computational linguistics.,Prior Experience: 30Y as professional programmer in different big tech.,Stock and/or recurring bonuses: 8M shares. bootstrapped,Total comp: 10K,,
2021,1,Title: Data Scientist,Tenure length: ~1 year,Location: Silicon Valley,"Salary: $170,000 base salary",Company/Industry: Mid-sized startup,"Education: MS in Statistics (2018), BS in Statistics/Economics (2017)",Prior Experience: (2 YOE post MS),"Relocation/Signing Bonus: None, I'm a local! No signing bonus either.",Stock and/or recurring bonuses:,"Total comp: $224,000",
2021,1,Title: Senior Analytics Engineer,Tenure length: 2 months,"Location: London, UK","Salary: £70,000",Company/Industry: Consumer goods,Education: MS Stats,Prior experience: around 7 years in related fields,,,,
2021,1,• Title: Data Analytics & Reporting Lead,• Tenure length: 3 Months,"• Location: Remote, Dallas Tx","• Salary: $110,000",• Company/Industry: Healthcare,"• Education: MS Data Analytics, MS Healthcare Analytics, Doctoral Student - Graduation 2023","• Prior Experience: New Grad, Self-Employed",◦ $Internship Analytics Intern for Fitness App,"•  Annual Bonus: $10,000","•  Total Comp: $120,000",
2021,1,Title: Junior Data Scientist,Tenure length: 2 months,"Location: Glasgow, UK","Salary: £27,000",Company/Industry: FinTech Startup,"Education: MEng Mechanical Engineering, MSc Machine Learning",Prior Experience: Three month DS internship,"Total comp: £27,000",,,
2021,1,Title: head of DS and ml engineering,Tenure length: 1 yrs,Location: south,Salary: $240k,Company/Industry: finance,Education: MSc DS,"Prior Experience: 10 years from ds, sr ds, manager ds, sr mgr ds, director ds",Relocation/Signing Bonus: na,Stock and/or recurring bonuses: $$$,Total comp: $300-400k,
2021,1,Title: Data Scientist,Tenure length: 3 years,"Office Location: Bengaluru, India",Salary: Rupees 21 Lakhs per annum,Company/Industry: Brewery,Education: B Tech Mechanical Engineering,Prior Experience: 3 years as data scientist,,,,
2021,1,Title: Senor Data Analyst,Tenure length: New to the company,Location: Bentonville AR (Work from Home),Salary: $110k USD,Company/Industry: Mid Size Real Estate Company,Education: Bachelors in Analytics Studying Masters in Analytics,Prior Experience: 2-3 years in analytics / reporting positions (ex fortune 10 data analyst),Relocation/Signing Bonus: None,Stock and/or recurring bonuses: 15% cash bonus,Total comp: 121k Total Comp,
2021,1,Title: Senior Data Scientist,Tenure length: 5 Years,"Location: Atlanta, US",Salary: $120k,Company/Industry: Retail/Marketing,"Education: STEM undergrad, MS Business Analytics","Prior Experience: 2 years Senior Analyst, 2 years DS, 1 year SDS",$Coop: None,Relocation/Signing Bonus: $5k,,
2021,1,Title: Senior Data Scientist,Tenure length: 3yr,Location: NYC,"Salary: $114,000",Company/Industry: Healthcare,Education: PhD Bioinformatics,Prior Experience: 1st Job,Relocation/Signing Bonus: $5000,Stock and/or recurring bonuses: None,"Total comp: $114,000",
2021,1,Title: Senior Analytics Analyst,Tenure: 2.5 yrs,Location: Southwest US,"Salary: ~$95K base , ~$15K bonus (company and individual performance combined)",Company/Industry: Financial Services & Banking,Education: BS in Applied Math & BBA Economics,Prior Experience: Data Analyst/Sr. Data Analyst in Insurance (3.5 years) and Healthcare (2 years),Internship/Coop: Risk Analytics co-op while in college (1 yr included in above experience),Relocation/Signing Bonus: None,"Stock/Recurring Bonuses: ESPP (company stock @15% discount, optional), ~$15K company and performance based bonus.",
2021,1,"Title: Director, Data Science",Tenure length: 4 years (we were acquired 2 years ago; I had been with the company two years before acquisition),Location: Fully remote,"Salary: $147,000",Company/Industry: Digital healthcare,"Education: BS, Biology; MS, Wildlife and Fisheries Sciences","Prior Experience:  9 years in research, statistics, biostatistics, and financial/management consultation",Relocation/Signing Bonus: $0,Stock and/or recurring bonuses: $0,Total comp: ~$154K with shitty 401K matching,
2021,1,Title: MLOps Engineer,Tenure length: Just starting,"Location: Berlin, Germany(Hybrid. mostly remote currently)",Salary: ´€70K,Company/Industry: Steel Industry,"Education: Almost MSc(Big Data), [BA Economics]","Prior Experience: Data related jobs(DA,DS,DE,ML) for 3 years",,,,
2021,1,Country: Germany,"Qualification: M.Sc. (mix of some psychologe, some IT/some low level CS)",Title: Business Analyst,"Years of experience after graduating: 1,5",Company size: ~3000,Company revenue: ~2 billion,Sector: Consumer Electronics (E-Commerce only),Salary gross: 50k €,,,
2021,1,Title: Data Scientist,Tenure Length: 2.5 years in current role,Location: Seattle (100% remote),Salary: $203k,Company/Industry: FAANG/Tech,Education: Masters Economics,"Prior Experience: 5 years (3 at very large public retailers, 1 at tech-unicorn now public, 1.5 at a e-commerce startup). Interned at the retail company for 2 semesters of masters before being hired full time.",Relocation/Signing Bonus: relo fully handled plus three months rent (probably ~$25k imputed taxes were around that) and bd $20k signing bonus.,"Stock and Bonus: $400k initial sign on equity grant, ~$100k RSU grants per year, 15% annual bonus. Equity on 4 year equal vesting starting immediately.","Total Comp: Current stock price ~$350k, 6 month a ago stock price ~$450k 😅.",
2021,1,Title: analytics solutions architecture lead,Tenure length: 3 yrs,Location: major metro area,Salary: 135k,Company/Industry: agency,Education: bachelors - non computer science,Prior Experience: 10 years as analyst,Relocation/Signing Bonus: na,Stock and/or recurring bonuses: have had a few spot bonuses,Total comp: 145k,
2021,1,•	⁠Title: Associate Data Scientist,•	⁠Tenure length: < 1 year,•	⁠Location: Chicago,"•	⁠Salary: $96,000","•	⁠Company/Industry: Large corporation in tech, not FAANG",•	⁠Education: MS Data Science,•	⁠Prior Experience: Almost a year as a Data Analyst for an internship,"•	⁠Relocation/Signing Bonus: $10,000 signing",•	⁠Stock and/or recurring bonuses: None,"•	⁠Total comp: $106,000",
2021,1,Title: Product Owner / will transition into Associate Data Scientist within a year,Tenure length: 1 year 3 months,Location: NJ / remote,Salary: $100k,Company/Industry: Big Pharma,Education: Finish my MS in Data Science July 2022,Prior Experience: 4yrs split between Finance and Real Estate Analytics,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses: 0,Total comp: ~$100k,
2021,1,Title: Data Analyst and Project Manager,"Tenure length: 3 years total, .5 with current company",Location: Twin Cities,Salary: $80k,Company/Industry: Small education nonprofit (<20 employees),Education: BS in ME from Ivy,Prior Experience: 2.5 years in marketing data science/analytics,,,,
2021,1,Title: Machine Learning Engineer,Tenure Length: 2 months,"Location: Atlanta, Ga US","Salary: 80k, renegotiate after probationary period.",Company/Industry: Cybersecurity,"Education: BS Mathematics CS minor, MS Computational Stats in progress.",Prior experience: 2 years research in undergrad (co authored 3 pubs).,Relocation/Signing: N/A,Stock/Bonuses: up for negotiation after probationary period,Total comp: 80k,
2021,1,Title: Data Specialist,Tenure length: 1 yr,Location: Medium COL (NC),Salary: $86k,Company/Industry: BioManufacturing,"Education: B.S. Bioengineering, half way done online Masters of Analytics","Prior Experience: 1 yr fermentation operator, 3 years process engineer",Stock and/or recurring bonuses: 5% bonus 5% profit sharing,Total comp: $100k,,
2021,1,Title: Research Associate,Tenure length: 4 months,Location: Toronto,Salary: 63K CAD,Company/Industry: Marketing Insights and Analytics,"Education: Master of Spatial Analysis, HBA in City Studies, Applied Stats and GIS",Prior Experience:,,,,
2021,1,Title: Data Scientist,Tenure length: 1.7 years,Location: SF Bay Area,Salary: $130k,Company/Industry: Biotech startup,Education: MS Statistics,Prior Experience: one internship before this job,Relocation/Signing Bonus: None,"Stock and/or recurring bonuses: $10k bonus, options that are of uncertain value",Total comp: $140k,
2021,1,Title: Senior Data Analyst,Tenure length: 1 month,Location: San Francisco,"Salary: $140,000",Company/Industry: Self-driving car,Education:,Prior Experience:,Relocation/Signing Bonus: $10k sign on,Stock and/or recurring bonuses:,Total comp: ~$216k,
2021,1,Title: Senior Data scientist,YOE: about 5 years,Location: Remote(midwest Lcol city),Salary: 150k base.,Company: Sales and marketing for a big tech company.,Education: MS,Prior exp: Just got this offer few days back. Before I worked in a start up for 3.5 years. I was the only DS in the company so responsible for everything related to data like getting requirement to model building to putting into production. Before that worked as a DS for a top automaker and an IT company.,Bonus: 8% and 7k towards 401k.,,,
2021,1,Title: Senior Product Scientist,Tenure length: 8 months,"Location: Austin, TX","Salary: $120,000",Industry: Tech,Education: BS Business Admin undergrad + 3 month DS Immersive Bootcamp,Prior Experience: 4 years Business Intelligence (basic linear modeling on occasion).,Relocation/signing bonus: None,Stock and/or recurring bonuses:,"Total comp: ~$150,000 - $160,000 (depending on Performance).",
2021,1,Title: Data Specialist (bit of a hybrid between analyst/engineer/jr. software dev),Tenure length: ~.5 year,Location: Chicago,"Salary: $80,000",Company/Industry: E-commerce,Education: BS Stats,Prior Experience: ~1 year in Analyst role,Stock and/or recurring bonuses: $3000 EOY bonus for 2021,"Total comp: $83,000",,
2021,1,(throw away),"I have just interviewed and got multiple offer so I'm going to give details on them. Both the bank and insurance company gave me what my ""total comp"" is, that includes bonus, stock purchase incentive, flex dollars for insurance, RRSP matching, etc. The first 3 offers knew about each other so I negociated with each of them and that's why they are so close (except for the startup, they matched the base salary but not everything else!). They ALL offered me about 80k at first but I negociated and got 90k+ (except for the ai consulting company, they just told me they could not match it). So negociating is sooo important in this :)",Title: Data Scientist,Location: Montreal,Location: Montreal,Location: Montreal,,,,,
2021,1,Title: Data Analyst,Tenure: < 1 year,"Location: Large city in Midwestern US, but temp full remote","Salary: $65,000",Industry: Health tech,"Education: B.Sc. and M.Sc. in an unrelated STEM field, post-bach (B.Sc.) in applied math","Experience: 3 years scientific research, 1 year previous experience as a data analyst",,,,
2020,1,Title: Senior Data Scientist,Tenure length: 1 years,Location: Tennessee USA,"Salary: 104,000",Company/Industry: Financial,Education: Masters in Mathematics,Prior Experience: 5 years as Data Scientist,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses:  19% bonus (depending  on company and individual performance),"Total comp: ~130,000",
2020,1,Title: Data Science Consultant,Tenure length: 2 years,Location: Washington DC,"Salary: $98,000",Company/Industry: FedGov (non-defense),Education: MS/MBA,"Prior Experience: 3 years data analysis, plus prior military experience","Stock and/or recurring bonuses: $2000 (last year was more, but pandemic...)","Total comp: $100,000",,
2020,1,Title: Softwate engineer,Tenure length: 1 and half years,Location: Lebanon,"Salary: 15,000",Company/Industry: Digital company,Education: Bachelor degree,Prior Experience: worked at 2 banks and a digital company.,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses: ~800,"Total comp: ~15,800",
2020,1,Title: Data Scientist,Tenure length: ~1 Year,Location: NYC,"Salary: $100,000",Company/Industry: PE/VC,Education: MS,"Prior Experience: 4 internships - 3 as a DS, plus research projects in the same industry. No full time experience.","Relocation/Signing Bonus: $5,000 signing bonus",Stock and/or recurring bonuses: 15-25% annual bonus,"Total comp: $105,000 (ex Bonus)",
2020,1,Title: CRM Analyst.,Tenure length: 2 Years.,Location: Ireland.,"Salary: €48,000.",Company/Industry: Retail - Fashion.,"Education: BSc Maths, MSc Computer Science.",Prior Experience: 1 Year Experience as a Data Science Consultant for Big 4 Accounting Firm.,Relocation/Signing Bonus: N/A.,Stock and/or recurring bonuses: 10%.,Total comp: ~€53k.,Primary Tools: Python & SQL.
2020,1,I wouldn't say it's atypical.,"Looking at PayScale, the average reported salary for a data analyst across the country is 35k (","In general, the salary in tech companies here is quite a bit higher (particularly FAANG), and similarly if I were to work in an emerging field in a company more at the forefront (e.g. AI in Biotech) the pay would also be higher, but I've a pretty poor exposure to what an 'average' salary would actually be like as my previous role was quite underpaid (for context I increased my salary 70% moving to my current position for a lot less stressful and technically demanding work).","My salary has been frozen in my current position since I joined largely due to COVID, however I'm expecting a significant increase (10k+) once pay raises are unfrozen due to aspects of my role which are significantly different now compared to when I started.","For tech and data science, you will generally not get the same scale of salary in Ireland as you do in the US (the equivalent of my role in a Farfetch in the US would be on approximately $134k).",,,,,,
2020,1,Title:  Principal Data Scientist,Tenure length:  6 months,Location:  SF Bay,"Salary:  185,000",Company/Industry:  Software Startup,Education:  PhD,"Prior Experience:  7 years academia, 2 years product mangement","Relocation/Signing Bonus:  10,000","Stock and/or recurring bonuses:  180,000 (still privately held company)","Total comp:  375,000",
2020,1,Title:Senior Engineering Lead,Tenure length:8years,Location:USA/Canada,Salary:$155k,Company/Industry:Oil and Gas,Education:Bachelors in Engineering,Prior Experience:4 years,Relocation/Signing Bonus:n/a,Stock and/or recurring bonuses:$70k,"Total comp:$225,000",
2020,1,Title: Data Scientist,Tenure length: 1.5 years,Location: Kansas City Metro,"Salary: $89,300",Company/Industry: Large tech company,Education: MS Applied Statistics,Prior Experience: 6 years Data Analyst,Relocation/Signing Bonus: N/A,Stock and/or recurring bonuses: 1.5% annual,"Total comp: $90,673",
2020,1,Title: Staff Data Scientist,Tenure length: 2 years,Location: D.C. Metro (Virginia),"Salary: $120,000",Company/industry: Defense,Education: M.S in Geoinformatics; working on PhD,"Prior experience: 2.5 years data science, 3 years data analyst",Relocation/Signing Bonus: $0,Stock/recurring bonus: $0,"Total Comp: $120,000",
2020,1,Title: Modeling Analyst,Tenure length: 6mo,Location: DC,"Salary: $70,000",Company/Industry: Insurance,Education: BS in Management (Info Systems and Business Analytics) from a top undergrad business school,Prior Experience:,Relocation/Signing Bonus: --,"Stock and/or recurring bonuses: $2,500 at 6mo mark","Total comp: $72,500",
2020,1,Title: Senior Data Engineer,Tenure length: 6 months,Location: Remote/West Coast,"Salary: $140,000",Company/Industry: Consulting,Education: MS/MBA - Ivy League,Prior Experience: 5+ years Software/BI Engineering,"Stock and/or recurring bonuses: $20,000","Total comp: $160,000",,
2020,1,Title: Associate Finance Manager - Data Science,Tenure length: 11 months,Location: New Jersey,"Salary: 93,000",Company/Industry: CPG/Financial Planning & Analysis,Education: MS in Data Science,"Prior Experience: 3 - 4 years in data analyst role.  Creating reports, manipulate data, some exposure to SQL in work.","Relocation/Signing Bonus: 6,000","Stock and/or recurring bonuses: No stocks, bonuses are still being computed","Total comp: ~ 100,000",
2020,1,Title: Data Scientist Intern,Tenure length:  1 year,Location: Brussels,Salary: 1400,Company/Industry: Small Pharmaceutical,Education: Master,Prior Experience:,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses: 0,Total comp: 0,
2020,1,Title: Data Scientist,Tenure Length: 2-3 years,Base Salary: 105k,Industry: Energy,Prior Experience: Finance,"Education: Bachelors, a few of those",,,,,
2020,1,Title: Insights Consultant,Tenure length: 2 years,Location: New Jersey. United States of America.,"Salary: $150,000 + ~7% bonus",Company/Industry: Market Research,Education: Masters,Prior Experience: ~12 years,Relocation/Signing Bonus: None,Stock and/or recurring bonuses: None,"Total comp: $160,000",
2020,1,Title: Lead Data Scientist,Tenure length: 3 yrs,Location: Chicago,"Salary: 120,000",Company/Industry: Small Consultancy,"Education: BA, MA  (Economics)",Prior Experience: 2 years in related field,Relocation/Signing Bonus: N/A,Stock and/or recurring bonuses: N/A,"Total comp: 120,000",
2020,1,Title: Data Scientist,Tenure: ~ 6 months,"Location: Cambridge, MA","Salary: $118,000",Company / Industry: Tech Start Up,Education: BA from an LAC in math,Prior Experience: ~ 6 months,Reloc Bonus: $2k,Signing Bonus: $0 (early stage start up!!),Total: $120k + Options,
2020,1,Title: Data scientist,"Tenure length: almost 2 years in this position, 1 year as a Data Analyst at a previous company",Location: nyc,Salary: 110k,Company/ industry: Content (startup),Education: Masters,Prior experience: boot camp and 1yr as a data analyst,,,,
2020,1,Title:. ML Engineer,Tenure length: 1 year,"Location: Minsk, Belarus",Salary: 33k,Company/Industry: e-commerce,Education: MS in Applied Maths,Prior Experience: 2.5y,Relocation/Signing Bonus: -,Stock and/or recurring bonuses: -,Total comp: 33k,
2020,1,Title: Senior quantitative/modeling analyst,Tenure length: 2 years,Location: DC,"Salary: $125,000",Company/Industry: Banking,Education: BS in computer science,Prior Experience: 5 years at another company as a junior QA,"Relocation/Signing Bonus: $5,000 signing bonus my first year","Stock and/or recurring bonuses: $25,000 performance bonus","Total comp: $150,000",
2020,1,Title: Senior Principal Data Scientist,Tenure length: 2.5 years,Location: Upper Midwest (Remote),"Salary: $160,000",Company/Industry: Healthcare,Education: MSc in Palaeoeconomics,Prior Experience: 6 years of AI/ML healthcare experience prior to current role,Relocation/Signing Bonus: None,Stock and/or recurring bonuses: $25k yearly bonus and discounted stock purchase,"Total comp: $185,000 + cheap(er) stock",
2020,1,Title: Data Analyst,Tenure length: 2yrs,Location: Denver,"Salary: $67,000",Company/Industry: Travel,Education: Bachelors,Prior Experience: 2yrs of analytics,Stock and/or recurring bonuses: 5% bonus (no bonus this year of course due to Covid),"Total comp: $70,000",,
2020,1,Title: Data Scientist,Tenure length: < 6 months,Location: Germany,Salary: 55k€ (~65k USD),Company/Industry: E-commerce,Education: MSc Information System (CS Focus),Prior Experience: 3 Internships,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses: 0,Paid Vacation: 30 days,Total comp: 55k€
2019,1,Title: ML Engineer (L7/E7-equivalent level),Tenure length: 1year,Location: Seattle,Salary: $295k,Company/Industry: SaaS,Education: MS,"Prior Experience: ~15yrs, several FAANG-ish companies",Relocation/Signing Bonus: $75k,"Stock and/or recurring bonuses: $75k bonus, $270k RSU's per year",Total comp: $640k,
2019,1,Title: Manager Data Analytics/Science,Tenure length: 1yr,Location: Pennsylvania LCOL area (not PHI/PIT),"Salary: $160,000",Company/Industry: Utility,Education: BS Risk Analytics | MS Data Science,"Prior Experience: 9 yrs in various analytical roles (data, intelligence, and data scientist for last 3ish yrs) for federal government.",Stock: ~$20k-50k,recurring bonuses: ~$20k-50k,Total comp: ~$200k-260k,
2019,1,Title: Data Engineer,Tenure length: 1.5 years,Location: Down Under,Salary: $119k,Company/Industry: Media,Education: Bachelors,Prior Experience: 2 years of risk analyst/data analyst,Stock and/or recurring bonuses: 10% target bonus + share scheme,Total comp: ~133k,,
2019,1,Title: Data Analyst,Tenure length: 1.5 yeaers,Location: Atlanta,Salary: $60k,Company/Industry: The Home Depot/Retail,"Education: BS: Accounting, graduate 2020",Prior Experience: 5 months as a pricing analyst at a real estate company,Relocation/Signing Bonus: 5% of salary,Stock and/or recurring bonuses: 6% company match if I recall correctly,Total comp: $63K,
2019,1,Title: Marketing Manager (doing analysis),Tenure length: 2 years,Location: SoCal,Salary: $128k,Company/Industry: Healthcare,"Education: BS, Business (just finished MS, CIS)","Prior Experience: 10 years, marketing analysis",Relocation/Signing Bonus: $5k,Stock and/or recurring bonuses: 10%,Total comp: $140.8k,
2019,1,Title: Data Analyst,Tenure length: 10 months,Location: Germany,"Salary: $64,5k  (€58k)",Company/Industry: MedTech,Education: Econ PhD,Prior Experience,Relocation/Signing Bonus: NA,Stock and/or recurring bonuses: $5.5k **(**€5k),Total comp: ~$70k,
2019,1,Title: Data Analyst,Tenure length: Start Date set in September,Location: NJ,"Salary: $84,000",Company/Industry: Consumer Packaged Goods,Education: 2 B.s. Data Science & Applied Statistics,Prior Experience:,Relocation/Signing Bonus: $5k signing bonus,Stock and/or recurring bonuses: 8% EOY target bonus,Total comp: $95k,
2021,2,Title: Senior Data Scientist Lead,"Tenure length: 8 Years (5 as normal DS, 2 as Senior, 1 as Senior Lead)",Location: St Louis (office),"Salary: $137,500",Company/Industry: Large corporation in biotech/agrotech,Education: PhD,Prior Experience: Joined current employer directly out of grad school,Relocation/Signing Bonus: Full relocation costs + $5500,Stock and/or recurring bonuses:,"Total comp: $183,000",
2021,2,Title: Data Scientist,"Tenure length: 4 month internship, 4 months current role","Location: Vancouver, BC (50% WFH)",Salary: $90K (CAD),Company/Industry: Mid-size non tech,"Education: PhD, Physics",Prior Experience: 2 years various part-time and contract DS/DA work,Relocation/Signing Bonus: None,"Stock and/or recurring bonuses: ~10% profit sharing, ~10% performance bonus","Total comp: ~$108K (CAD, pro-rated)",
2021,2,"not GP, but I was a DS in Canada (left for greener pastures).",I'd say (s)he is in a pretty typical salary band for DS in Canada. If you go to toronto you can expect an entry of ~$100k CAD - and some senior salaries around 200k.,"Best I could wrangle for myself in Calgary was $130k, with an undisclosed amount of stock (i.e. even in the offer they wouldn't state how much. yes I turned it down).",If you want to make money (and get real experience in tech) - leave Canada.,,,,,,,
2021,2,Title: Senior Staff Data Scientist,Tenure length: 3 years.,"Location: Was in the bay area, now fully remote in a MCOL area","Salary: $240,000","Company/Industry: Tech, not FAANG","Education: MS in Mathematics, dropped out of a phd program after Masters","Prior Experience: 13 years, pretty much all of it in the Data / ML space.",Relocation/Signing Bonus: 0,"Stock and/or recurring bonuses: 30% of my base salary as cash bonus, which translates to $72k, and ~$570k per year based on current valuation of stock.",Total comp: ~$882k per year,
2021,2,"Atlanta. Have to clarify that we were looking to hire only Senior / Staff DS and MLE. Just because of sheer number, it's a lot easier to hire them in the Bay Area compared to Atlanta.","I'm sure we could have hired someone if we kept looking, but leaving roles open for months would have required my team to handle the extra workload for much longer than is reasonable to expect.","If you don't mind hearing a bit of unwarranted career advice: You should reconsider your stance on management track if your goal is upward career mobility. This is especially true if you're not in big tech. Even in big tech, Principal Engineers, Distinguished Engineers, and Technical Fellows are a lot less common than Directors, Senior Directors and VPs.","Something like only 10% of employees even go beyond L5 as an IC. IMHO the equivalent of L7 is the likely ceiling for most ICs even in big tech, unless you're among the few experts in the world on a certain topic and can influence organizations of 100s of people without actually managing them. If you're not in big tech and not in a tech hub the ceiling is likely a lot lower.","That said, don't move to management only as a way to grow in your career. You start becoming responsible for other people's career growth, and livelihood. Approach it with the seriousness it deserves. So many shitty people end up in leadership roles because of their ambition, but they lack basic people skills to be able to handle conflicts within teams and between teams, which results in unwarranted drama and pain. It's sad!",There are really good books about management I can recommend if you choose to go into the management track.,,,,,
2021,2,Title: data scientist,Tenure length: just accepted,Location: Illinois,"Salary: 100k, 14% bonus",Company/Industry: Caterpillar,"Education: marketing undergrad, MBA, self taught analytics and stats",,,,,
2021,2,Thanks bud it’s been a very interesting two years on my way here. I wouldn’t say I’m actually  a data scientist. I know how much I don’t know.  And I know that there is a lot to be learned. But what I have found is that I’m very good at working with business teams to identify their projects requirements and iron out any problems and try to get all that in order first. Turns out these dudes listen to an mba even if I don’t know as much as most people here.,My tittle is data scientist but a more accurate title would be internal data science consultant.,"Might as well plug it while I’m here: I am part of a discord community for R users. We talk shit, shit post and help each other learn R and stats.",https://discord.gg/FSRyXusX2f,,,,,,,
2021,2,Title: Graduate Trainee Data Scientist,Tenure length: 2 months,"Location: Buckinghamshire , UK","Salary: £27,000",Company/Industry: Waste Management,Education: BSc Applied Mathematics,Prior Experience: None (Entry Level Graduate Scheme),"Total comp: £27,000",,,
2021,2,Title: Head of Machine Learning,Tenure length: < 1 year,Location: Germany,"Salary: $120,000",Company/Industry: Startup,Education: PhD,"Prior Experience: 2 years DS, 2 years lead DS",Relocation/Signing Bonus: no,"Stock and/or recurring bonuses: $20,000 yearly bonus","Total comp: $140,000",
2021,2,Title: Process Data Scientist,Tenure length: 7 months,Location: SF Bay Area,Salary: $150k,Company/Industry: Semiconductors,Education: ChemE PhD,Prior Experience: brief stint as a postdoc + 3.5 years as ChE,Relocation/Signing Bonus: 0,Stock and/or recurring bonuses: RSU comes out to ~20k/year and bonus is set to 20%,Total comp: $200k,
2021,2,Title: Decision Scientist,Tenure length: 8 months,Office Location: Denver,"Salary: $100,000",Company/Industry: Late stage tech startup,Education: MA Economics,"Prior Experience: 7.5 years at a marketing agency, 5 as QA/SWE, 2.5 as data scientist",Relocation/Signing Bonus: None,Stock and/or recurring bonuses:,"Total Comp: ~$130,000",
2021,2,Title: AI Engineer,Tenure length: 3 months,"Location: London, UK","Salary: £50,000",Company/Industry: Consulting (Gov),"Education: MSc Software Development, BEng Mechanical Engineering",Prior Experience: 2 YOE Machine Learning Engineer,"Total comp: £50,000",,,
